Question,qtype
I have Hypertension,general
I feel Hypertension,general
Do I have Hypertension?,general
Is it possible that I have Hypertension?,general
I'm experiencing Hypertension,general
Could Hypertension be affecting me?,general
I'm suffering from Hypertension,general
I think I might have Hypertension,general
I have Alcoholic hepatitis,general
I feel Alcoholic hepatitis,general
Do I have Alcoholic hepatitis?,general
Is it possible that I have Alcoholic hepatitis?,general
I'm experiencing Alcoholic hepatitis,general
Could Alcoholic hepatitis be affecting me?,general
I'm suffering from Alcoholic hepatitis,general
I think I might have Alcoholic hepatitis,general
I have dehydration,general
I feel dehydration,general
Do I have dehydration?,general
Is it possible that I have dehydration?,general
I'm experiencing dehydration,general
Could dehydration be affecting me?,general
I'm suffering from dehydration,general
I think I might have dehydration,general
I have (vertigo) Paroymsal  Positional Vertigo,general
I feel (vertigo) Paroymsal  Positional Vertigo,general
Do I have (vertigo) Paroymsal  Positional Vertigo?,general
Is it possible that I have (vertigo) Paroymsal  Positional Vertigo?,general
I'm experiencing (vertigo) Paroymsal  Positional Vertigo,general
Could (vertigo) Paroymsal  Positional Vertigo be affecting me?,general
I'm suffering from (vertigo) Paroymsal  Positional Vertigo,general
I think I might have (vertigo) Paroymsal  Positional Vertigo,general
I have Peptic ulcer diseae,general
I feel Peptic ulcer diseae,general
Do I have Peptic ulcer diseae?,general
Is it possible that I have Peptic ulcer diseae?,general
I'm experiencing Peptic ulcer diseae,general
Could Peptic ulcer diseae be affecting me?,general
I'm suffering from Peptic ulcer diseae,general
I think I might have Peptic ulcer diseae,general
I have Malaria,general
I feel Malaria,general
Do I have Malaria?,general
Is it possible that I have Malaria?,general
I'm experiencing Malaria,general
Could Malaria be affecting me?,general
I'm suffering from Malaria,general
I think I might have Malaria,general
I have Acne,general
I feel Acne,general
Do I have Acne?,general
Is it possible that I have Acne?,general
I'm experiencing Acne,general
Could Acne be affecting me?,general
I'm suffering from Acne,general
I think I might have Acne,general
I have Hepatitis E,general
I feel Hepatitis E,general
Do I have Hepatitis E?,general
Is it possible that I have Hepatitis E?,general
I'm experiencing Hepatitis E,general
Could Hepatitis E be affecting me?,general
I'm suffering from Hepatitis E,general
I think I might have Hepatitis E,general
I have Arthritis,general
I feel Arthritis,general
Do I have Arthritis?,general
Is it possible that I have Arthritis?,general
I'm experiencing Arthritis,general
Could Arthritis be affecting me?,general
I'm suffering from Arthritis,general
I think I might have Arthritis,general
I have Psoriasis,general
I feel Psoriasis,general
Do I have Psoriasis?,general
Is it possible that I have Psoriasis?,general
I'm experiencing Psoriasis,general
Could Psoriasis be affecting me?,general
I'm suffering from Psoriasis,general
I think I might have Psoriasis,general
I have Hepatitis D,general
I feel Hepatitis D,general
Do I have Hepatitis D?,general
Is it possible that I have Hepatitis D?,general
I'm experiencing Hepatitis D,general
Could Hepatitis D be affecting me?,general
I'm suffering from Hepatitis D,general
I think I might have Hepatitis D,general
I have Hyperthyroidism,general
I feel Hyperthyroidism,general
Do I have Hyperthyroidism?,general
