Question,qtype
"I have lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger, what is the name of this disease?",symptoms
"I feel lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger, what disease is this?",symptoms
"Experiencing lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger, what might this indicate?",symptoms
"With symptoms like lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger, what could be the illness?",symptoms
"What disease causes lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger?",symptoms
"Which condition includes lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger as symptoms?",symptoms
"I suffer from lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger, what could be wrong?",symptoms
"Having lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger, could you tell me the disease?",symptoms
"If I'm experiencing lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger, what is the diagnosis?",symptoms
"My symptoms are lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger, what disease do I have?",symptoms
"What illness matches these symptoms: lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger?",symptoms
"Could lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger be signs of a specific disease?",symptoms
"What might be the condition if I have lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger?",symptoms
"Please identify the disease with these symptoms: lack_of_concentration, bloody_stool, palpitations, back_pain, sweating, excessive_hunger",symptoms
"I have mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger, what is the name of this disease?",symptoms
"I feel mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger, what disease is this?",symptoms
"Experiencing mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger, what might this indicate?",symptoms
"With symptoms like mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger, what could be the illness?",symptoms
"What disease causes mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger?",symptoms
"Which condition includes mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger as symptoms?",symptoms
"I suffer from mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger, what could be wrong?",symptoms
"Having mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger, could you tell me the disease?",symptoms
"If I'm experiencing mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger, what is the diagnosis?",symptoms
"My symptoms are mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger, what disease do I have?",symptoms
"What illness matches these symptoms: mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger?",symptoms
"Could mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger be signs of a specific disease?",symptoms
"What might be the condition if I have mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger?",symptoms
"Please identify the disease with these symptoms: mood_swings, extra_marital_contacts, toxic_look_(typhos), phlegm, bruising, excessive_hunger",symptoms
