query,expected_answer,generated_answer,cosine_similarity,result,cosine_check,expected_check
"I have symptoms such as bladder discomfort, burning micturition, continuous feel of urine, foul smell of urine. What the name of the disease?",Urinary tract infection,Urinary tract infection,1.0000000000000002,True,True,True
"I have symptoms such as fatigue, loss of appetite, nausea, high fever, vomiting, back pain, headache, skin rash, chills, pain behind the eyes. What the name of the disease?",Dengue,Dengue,1.0,True,True,True
"I have symptoms such as anxiety, drying and tingling lips, excessive hunger, fatigue, headache, irritability, nausea, palpitations, slurred speech, sweating, vomiting. What the name of the disease?",Hypoglycemia,Hypoglycemia,1.0,True,True,True
"What is the disease name based on this description: Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it?",Jaundice,Jaundice,1.0,True,True,True
"What is the disease name based on this description: Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.?",Hypertension,Hypertension,1.0,True,True,True
"I have symptoms such as breathlessness, chest pain, chills, cough, fast heart rate, fatigue, high fever, malaise, phlegm, rusty sputum. What the name of the disease?",Pneumonia,Pneumonia,1.0,True,True,True
"I have symptoms such as enlarged thyroid, cold hands and feets, swollen extremeties, puffy face and eyes, dizziness, abnormal menstruation, fatigue, brittle nails, mood swings, irritability. What the name of the disease?",Hypothyroidism,Hypothyroidism,1.0,True,True,True
"I have symptoms such as abdominal pain, coma, dark urine, fatigue, high fever, joint pain, loss of appetite, nausea, stomach bleeding, vomiting, yellowing of eyes, yellowish skin. What the name of the disease?",Hepatitis E,Jaundice,0.0,False,False,False
"I have symptoms such as headache, stiff neck, irritability, blurred and distorted vision, excessive hunger, visual disturbances, indigestion, acidity. What the name of the disease?",Migraine,Migraine,1.0,True,True,True
"I have symptoms such as anxiety, blurred and distorted vision, excessive hunger, fatigue, headache, irritability, nausea, palpitations, slurred speech, sweating, vomiting. What the name of the disease?",Hypoglycemia,Hypoglycemia,1.0,True,True,True
"I have symptoms such as headache, spinning movements, loss of balance, vomiting. What the name of the disease?",(vertigo) Paroymsal  Positional Vertigo,Migraine,0.0,False,False,False
"I have symptoms such as abdominal pain, dark urine, joint pain, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin. What the name of the disease?",Hepatitis D,Hepatitis E,1.0,True,True,False
"I have symptoms such as puffy face and eyes, abnormal menstruation, weight gain, brittle nails, enlarged thyroid, dizziness, depression, cold hands and feets, fatigue, irritability, mood swings. What the name of the disease?",Hypothyroidism,Hypothyroidism,1.0,True,True,True
"I have symptoms such as acidity, blurred and distorted vision, depression, headache, indigestion, irritability, stiff neck, visual disturbances. What the name of the disease?",Migraine,Migraine,1.0,True,True,True
"I have symptoms such as continuous feel of urine, foul smell of urine. What the name of the disease?",Urinary tract infection,urinary tract infection,1.0000000000000002,True,True,True
"I have symptoms such as high fever, skin rash, lethargy, headache, malaise, fatigue, loss of appetite, red spots over body, swelled lymph nodes. What the name of the disease?",Chicken pox,Dengue,0.0,False,False,False
"I have symptoms such as inflammatory nails, skin rash, silver like dusting, small dents in nails. What the name of the disease?",Psoriasis,Psoriasis,1.0,True,True,True
"I have symptoms such as inflammatory nails, silver like dusting, skin peeling, skin rash, small dents in nails. What the name of the disease?",Psoriasis,Psoriasis,1.0,True,True,True
"I have symptoms such as slurred speech, nausea, sweating, anxiety, excessive hunger, irritability, vomiting, blurred and distorted vision, palpitations, drying and tingling lips, headache. What the name of the disease?",Hypoglycemia,Hypoglycemia,1.0,True,True,True
"I have symptoms such as cough, ulcers on tongue, acidity, stomach pain. What the name of the disease?",GERD,GERD,1.0,True,True,True
What is the description of the disease Hypoglycemia?, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,your blood sugar (glucose) level is lower than normal,0.4726406829276052,False,False,False
"What is the disease name based on this description: Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.?",Bronchial Asthma,Bronchial asthma,1.0000000000000002,True,True,True
